"groupA","interactPositionA","interactionA","groupB","interactPositionB","interactionB","strength","opacity","timepoint"
8,6,"FGF1_FGFR3",17,6,"FGF1_FGFR3",0.266,0.126365795724466,2
8,7,"aVb1 complex_FN1",17,7,"aVb1 complex_FN1",0.273,0.129691211401425,2
8,10,"GAS6_AXL",3,10,"GAS6_AXL",0.439,0.20855106888361,2
8,10,"GAS6_AXL",6,10,"GAS6_AXL",0.463,0.219952494061758,2
8,104,"TGFBR3_TGFB1",3,104,"TGFBR3_TGFB1",0.408,0.193824228028504,2
8,104,"TGFBR3_TGFB1",5,104,"TGFBR3_TGFB1",0.521,0.24750593824228,2
8,104,"TGFBR3_TGFB1",6,104,"TGFBR3_TGFB1",0.172,0.0817102137767221,2
8,104,"TGFBR3_TGFB1",11,104,"TGFBR3_TGFB1",0.27,0.128266033254157,2
8,104,"TGFBR3_TGFB1",14,104,"TGFBR3_TGFB1",0.337,0.160095011876485,2
8,104,"TGFBR3_TGFB1",16,104,"TGFBR3_TGFB1",0.689,0.327315914489311,2
8,104,"TGFBR3_TGFB1",17,104,"TGFBR3_TGFB1",0.416,0.197624703087886,2
8,53,"NRP1_VEGFB",7,53,"NRP1_VEGFB",0.227,0.107838479809976,2
8,53,"NRP1_VEGFB",8,53,"NRP1_VEGFB",0.217,0.103087885985748,2
8,53,"NRP1_VEGFB",9,53,"NRP1_VEGFB",0.219,0.104038004750594,2
8,53,"NRP1_VEGFB",12,53,"NRP1_VEGFB",0.253,0.120190023752969,2
8,53,"NRP1_VEGFB",14,53,"NRP1_VEGFB",0.217,0.103087885985748,2
8,79,"HBEGF_EGFR",1,79,"HBEGF_EGFR",0.285,0.135391923990499,2
8,79,"HBEGF_EGFR",2,79,"HBEGF_EGFR",0.274,0.130166270783848,2
8,79,"HBEGF_EGFR",7,79,"HBEGF_EGFR",0.276,0.131116389548694,2
8,79,"HBEGF_EGFR",13,79,"HBEGF_EGFR",0.247,0.117339667458432,2
8,13,"GRN_TNFRSF1B",3,13,"GRN_TNFRSF1B",0.274,0.130166270783848,2
8,13,"GRN_TNFRSF1B",15,13,"GRN_TNFRSF1B",0.461,0.219002375296912,2
8,13,"GRN_TNFRSF1B",17,13,"GRN_TNFRSF1B",0.498,0.236579572446556,2
8,14,"a6b1 complex_LAMC1",5,14,"a6b1 complex_LAMC1",0.251,0.119239904988124,2
8,14,"a6b1 complex_LAMC1",7,14,"a6b1 complex_LAMC1",0.253,0.120190023752969,2
8,14,"a6b1 complex_LAMC1",12,14,"a6b1 complex_LAMC1",0.226,0.107363420427553,2
8,14,"a6b1 complex_LAMC1",16,14,"a6b1 complex_LAMC1",0.277,0.131591448931116,2
8,54,"NRP1_VEGFA",1,54,"NRP1_VEGFA",0.389,0.18479809976247,2
8,54,"NRP1_VEGFA",2,54,"NRP1_VEGFA",0.399,0.189548693586698,2
8,54,"NRP1_VEGFA",7,54,"NRP1_VEGFA",0.461,0.219002375296912,2
8,54,"NRP1_VEGFA",8,54,"NRP1_VEGFA",0.459,0.218052256532067,2
8,54,"NRP1_VEGFA",9,54,"NRP1_VEGFA",0.393,0.186698337292162,2
8,54,"NRP1_VEGFA",12,54,"NRP1_VEGFA",0.408,0.193824228028504,2
8,15,"SPP1_CD44",3,15,"SPP1_CD44",1.592,0.756294536817102,2
8,15,"SPP1_CD44",6,15,"SPP1_CD44",1.351,0.641805225653207,2
8,15,"SPP1_CD44",11,15,"SPP1_CD44",1.445,0.68646080760095,2
8,15,"SPP1_CD44",14,15,"SPP1_CD44",1.391,0.660807600950119,2
8,15,"SPP1_CD44",15,15,"SPP1_CD44",1.742,0.827553444180523,2
8,15,"SPP1_CD44",16,15,"SPP1_CD44",1.441,0.684560570071259,2
